,0
2024-12-30,1
2024-12-31,2
2025-01-01,3
2025-01-02,4
2025-01-03,5
2025-01-04,6
2025-01-05,7
2025-01-06,8
2025-01-07,9
2025-01-08,10
2025-01-09,11
2025-01-10,12
2025-01-11,13
2025-01-12,14
2025-01-13,15
2025-01-14,16
2025-01-15,17
2025-01-16,18
2025-01-17,19
2025-01-18,20
2025-01-19,21
2025-01-20,22
2025-01-21,23
2025-01-22,24
2025-01-23,25
2025-01-24,26
2025-01-25,27
2025-01-26,28
2025-01-27,29
2025-01-28,30
2025-01-29,31
2025-01-30,32
2025-01-31,33
2025-02-01,34
2025-02-02,35
2025-02-03,36
2025-02-04,37
2025-02-05,38
2025-02-06,39
2025-02-07,40
2025-02-08,41
2025-02-09,42
2025-02-10,43
2025-02-11,44
2025-02-12,45
2025-02-13,46
2025-02-14,47
2025-02-15,48
2025-02-16,49
2025-02-17,50
2025-02-18,51
2025-02-19,52
2025-02-20,53
2025-02-21,54
2025-02-22,55
2025-02-23,56
2025-02-24,57
2025-02-25,58
2025-02-26,59
2025-02-27,60
2025-02-28,61
2025-03-01,62
2025-03-02,63
2025-03-03,64
2025-03-04,65
2025-03-05,66
2025-03-06,67
2025-03-07,68
2025-03-08,69
2025-03-09,70
2025-03-10,71
2025-03-11,72
2025-03-12,73
2025-03-13,74
2025-03-14,75
2025-03-15,76
2025-03-16,77
2025-03-17,78
2025-03-18,79
2025-03-19,80
2025-03-20,81
2025-03-21,82
2025-03-22,83
2025-03-23,84
2025-03-24,85
2025-03-25,86
2025-03-26,87
2025-03-27,88
2025-03-28,89
2025-03-29,90
2025-03-30,91
2025-03-31,92
2025-04-01,93
2025-04-02,94
2025-04-03,95
2025-04-04,96
2025-04-05,97
2025-04-06,98
2025-04-07,99
2025-04-08,100
2025-04-09,101
2025-04-10,102
2025-04-11,103
2025-04-12,104
2025-04-13,105
2025-04-14,106
2025-04-15,107
2025-04-16,108
2025-04-17,109
2025-04-18,110
2025-04-19,111
2025-04-20,112
2025-04-21,113
2025-04-22,114
2025-04-23,115
2025-04-24,116
2025-04-25,117
2025-04-26,118
2025-04-27,119
2025-04-28,120
2025-04-29,121
2025-04-30,122
2025-05-01,123
2025-05-02,124
2025-05-03,125
2025-05-04,126
2025-05-05,127
2025-05-06,128
2025-05-07,129
2025-05-08,130
2025-05-09,131
2025-05-10,132
2025-05-11,133
2025-05-12,134
2025-05-13,135
2025-05-14,136
2025-05-15,137
2025-05-16,138
2025-05-17,139
2025-05-18,140
2025-05-19,141
2025-05-20,142
2025-05-21,143
2025-05-22,144
2025-05-23,145
2025-05-24,146
2025-05-25,147
2025-05-26,148
2025-05-27,149
2025-05-28,150
2025-05-29,151
2025-05-30,152
2025-05-31,153
2025-06-01,154
2025-06-02,155
2025-06-03,156
2025-06-04,157
2025-06-05,158
2025-06-06,159
2025-06-07,160
2025-06-08,161
2025-06-09,162
2025-06-10,163
2025-06-11,164
2025-06-12,165
2025-06-13,166
2025-06-14,167
2025-06-15,168
2025-06-16,169
2025-06-17,170
2025-06-18,171
2025-06-19,172
2025-06-20,173
2025-06-21,174
2025-06-22,175
2025-06-23,176
2025-06-24,177
2025-06-25,178
2025-06-26,179
2025-06-27,180
2025-06-28,181
2025-06-29,182
2025-06-30,183
2025-07-01,184
2025-07-02,185
2025-07-03,186
2025-07-04,187
2025-07-05,188
2025-07-06,189
2025-07-07,190
2025-07-08,191
2025-07-09,192
2025-07-10,193
2025-07-11,194
2025-07-12,195
2025-07-13,196
2025-07-14,197
2025-07-15,198
2025-07-16,199
2025-07-17,200
